"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"174",2015-03-07,"11:30",1,0,0,"roel alleen",2015-03-07 11:30:00,1
"175",2015-03-06,"10:48",1,0,0,"roel alleen",2015-03-06 10:48:00,1
"176",2015-03-06,"09:48",1,0,0,"roel alleen",2015-03-06 09:48:00,1
"177",2015-03-05,"14:12",1,0,0,"roel alleen",2015-03-05 14:12:00,1
"178",2015-03-04,"14:14",1,0,0,"roel alleen",2015-03-04 14:14:00,1
"179",2015-03-04,"09:49",1,0,0,"roel alleen",2015-03-04 09:49:00,1
"180",2015-03-04,"09:06",1,0,0,"roel alleen",2015-03-04 09:06:00,1
"181",2015-03-03,"14:03",1,0,0,"roel alleen",2015-03-03 14:03:00,1
"182",2015-03-03,"10:11",1,0,0,"roel alleen",2015-03-03 10:11:00,1
"183",2015-03-03,"08:42",1,0,0,"roel alleen",2015-03-03 08:42:00,1
"184",2015-03-02,"13:12",1,0,0,"roel alleen",2015-03-02 13:12:00,1
"185",2015-03-02,"09:21",1,0,0,"roel alleen",2015-03-02 09:21:00,1
"186",2015-03-01,"16:15",1,0,0,"roel alleen",2015-03-01 16:15:00,1
"187",2015-03-01,"12:06",1,0,0,"roel alleen",2015-03-01 12:06:00,1
"188",2015-03-01,"09:50",1,0,0,"roel alleen",2015-03-01 09:50:00,1
"189",2015-03-01,"09:31",1,0,0,"roel alleen",2015-03-01 09:31:00,1
"190",2015-02-28,"20:51",1,0,0,"roel alleen",2015-02-28 20:51:00,1
"191",2015-02-28,"15:35",1,0,0,"roel alleen",2015-02-28 15:35:00,1
"192",2015-02-28,"10:44",1,0,0,"roel alleen",2015-02-28 10:44:00,1
"193",2015-02-28,"10:22",1,0,0,"roel alleen",2015-02-28 10:22:00,1
"194",2015-02-28,"10:20",1,0,0,"roel alleen",2015-02-28 10:20:00,1
"195",2015-02-27,"13:08",1,0,0,"roel alleen",2015-02-27 13:08:00,1
"196",2015-02-27,"10:39",1,0,0,"roel alleen",2015-02-27 10:39:00,1
"197",2015-02-27,"09:43",1,0,0,"roel alleen",2015-02-27 09:43:00,1
"198",2015-02-26,"14:28",1,0,0,"roel alleen",2015-02-26 14:28:00,1
"199",2015-02-26,"09:28",1,0,0,"roel alleen",2015-02-26 09:28:00,1
"200",2015-02-25,"11:58",1,0,0,"roel alleen",2015-02-25 11:58:00,1
"201",2015-02-25,"10:41",1,0,0,"roel alleen",2015-02-25 10:41:00,1
"202",2015-02-25,"08:57",1,0,0,"roel alleen",2015-02-25 08:57:00,1
"203",2015-02-24,"13:06",1,0,0,"roel alleen",2015-02-24 13:06:00,1
"204",2015-02-24,"11:36",1,0,0,"roel alleen",2015-02-24 11:36:00,1
"205",2015-02-24,"09:20",1,0,0,"roel alleen",2015-02-24 09:20:00,1
"206",2015-02-23,"15:52",1,0,0,"roel alleen",2015-02-23 15:52:00,1
"207",2015-02-23,"11:56",1,0,0,"roel alleen",2015-02-23 11:56:00,1
"208",2015-02-23,"11:10",1,0,0,"roel alleen",2015-02-23 11:10:00,1
"209",2015-02-23,"09:20",1,0,0,"roel alleen",2015-02-23 09:20:00,1
"210",2015-02-22,"16:33",1,0,0,"roel alleen",2015-02-22 16:33:00,1
"211",2015-02-22,"11:44",1,0,0,"roel alleen",2015-02-22 11:44:00,1
"212",2015-02-22,"10:07",1,0,0,"roel alleen",2015-02-22 10:07:00,1
"213",2015-02-21,"09:35",1,0,0,"roel alleen",2015-02-21 09:35:00,1
"214",2015-02-20,"14:43",1,0,0,"roel alleen",2015-02-20 14:43:00,1
"215",2015-02-20,"11:12",1,0,0,"roel alleen",2015-02-20 11:12:00,1
"216",2015-02-19,"14:43",1,0,0,"roel alleen",2015-02-19 14:43:00,1
"217",2015-02-19,"11:00",1,0,0,"roel alleen",2015-02-19 11:00:00,1
